date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2017%20Jan%202024%2014:46:10%20GMT	http://demo.dashboardpack.com/user-management-html/dark_sidebar.html	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/dark_sidebar.0.delayed	(from )
09:46:09	55193/55193	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2014:05:41%20GMT	https://demo.dashboardpack.com/user-management-html/dark_sidebar.html	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/dark_sidebar.html	(from )
09:46:09	243/243	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202024%2014:46:10%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
09:46:10	938/938	---M--	200	added ('OK')	image/png	etag:%22632dbd59-3aa%22	https://demo.dashboardpack.com/user-management-html/img/mini_logo.png	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/img/mini_logo.png	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:10	155851/155851	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbd36-260cb%22	https://demo.dashboardpack.com/user-management-html/css/bootstrap1.min.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/css/bootstrap1.min.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:10	13847/13847	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbddf-446c%22	https://demo.dashboardpack.com/user-management-html/vendors/themefy_icon/themify-icons.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/themefy_icon/themify-icons.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:10	5238/5238	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbdd5-1b8f%22	https://demo.dashboardpack.com/user-management-html/vendors/niceselect/css/nice-select.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/niceselect/css/nice-select.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:10	3261/3261	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbdd8-1342%22	https://demo.dashboardpack.com/user-management-html/vendors/owl_carousel/css/owl.carousel.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/owl_carousel/css/owl.carousel.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:11	54081/54081	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbdc9-d341%22	https://demo.dashboardpack.com/user-management-html/vendors/gijgo/gijgo.min.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/gijgo/gijgo.min.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:11	55970/55970	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbdc8-daa2%22	https://demo.dashboardpack.com/user-management-html/vendors/font_awesome/css/all.min.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/font_awesome/css/all.min.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:11	1769/1769	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbddc-921%22	https://demo.dashboardpack.com/user-management-html/vendors/tagsinput/tagsinput.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/tagsinput/tagsinput.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:12	8152/8152	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbdc4-b90a%22	https://demo.dashboardpack.com/user-management-html/vendors/datepicker/date-picker.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/datepicker/date-picker.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:12	6067/6067	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbde2-1a33%22	https://demo.dashboardpack.com/user-management-html/vendors/vectormap-home/vectormap-2.0.2.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/vectormap-home/vectormap-2.0.2.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
09:46:13	2833/2833	---MCZ	200	added ('OK')	text/css	etag:W/%22632dbddb-5ec2%22	https://demo.dashboardpack.com/user-management-html/vendors/scroll/scrollable.css	C:/My%20Web%20Sites/adminDash1/demo.dashboardpack.com/user-management-html/vendors/scroll/scrollable.css	(from https://demo.dashboardpack.com/user-management-html/dark_sidebar.html)
